,Unnamed: 0,Unnamed: 0.1,text,Stopword,grup
1000,1364,1364,bts v hottest voice recordings from his game night with the chosen armys ,"['bts', 'v', 'hottest', 'voice', 'recordings', 'game', 'night', 'chosen', 'armys']",bts
1009,1373,1373,bts v reveals that he working on new solo music ,"['bts', 'v', 'reveals', 'working', 'new', 'solo', 'music']",bts
1012,1376,1376, of the best bts seducesomeoneinfourwords tweets ,"['best', 'bts', 'seducesomeoneinfourwords', 'tweets']",bts
1017,1381,1381,btss album sales since debut shows just how much theyve progressed through the years ,"['btss', 'album', 'sales', 'since', 'debut', 'shows', 'much', 'theyve', 'progressed', 'years']",bts
1022,1386,1386,btss gives fans advice on how to make friends at new school ,"['btss', 'gives', 'fans', 'advice', 'make', 'friends', 'new', 'school']",bts
1027,1391,1391,queen adam lambert praises bts and congratulates them on their global success ,"['queen', 'adam', 'lambert', 'praises', 'bts', 'congratulates', 'global', 'success']",bts
1030,1394,1394,john cena talks about how he became fan of bts because of their message ,"['john', 'cena', 'talks', 'became', 'fan', 'bts', 'message']",bts
1033,1397,1397,bts v helps fan find blood donor for their ailing grandfather ,"['bts', 'v', 'helps', 'fan', 'find', 'blood', 'donor', 'ailing', 'grandfather']",bts
1040,1404,1404,legendary rock band queen applauds bts for their positive influence through music ,"['legendary', 'rock', 'band', 'queen', 'applauds', 'bts', 'positive', 'influence', 'music']",bts
1045,1409,1409,fans are confused af about the total cost for connect bts ,"['fans', 'confused', 'af', 'total', 'cost', 'connect', 'bts']",bts
1051,1415,1415,bts map of the soul album sells in pre orders ,"['bts', 'map', 'soul', 'album', 'sells', 'pre', 'orders']",bts
1056,1420,1420,starbucks korea drops new merchandise for bts collaboration ,"['starbucks', 'korea', 'drops', 'new', 'merchandise', 'bts', 'collaboration']",bts
1061,1425,1425,txt reveals how bts celebrated their mama rookie award win ,"['txt', 'reveals', 'bts', 'celebrated', 'mama', 'rookie', 'award', 'win']",bts
1063,1427,1427,actor lee yi kyung reveals how he met and became good friends with bts jin ,"['actor', 'lee', 'yi', 'kyung', 'reveals', 'met', 'became', 'good', 'friends', 'bts', 'jin']",bts
1069,1433,1433,bts jungkook picks his top ice creams and armys are calling him old man jk for it ,"['bts', 'jungkook', 'picks', 'top', 'ice', 'creams', 'armys', 'calling', 'old', 'man', 'jk']",bts
1071,1435,1435,bts jimin is mc v biggest fan and it shows ,"['bts', 'jimin', 'mc', 'v', 'biggest', 'fan', 'shows']",bts
1076,1440,1440,bts v is blowing up everyone weverse notifications again ,"['bts', 'v', 'blowing', 'everyone', 'weverse', 'notifications']",bts
1079,1443,1443,welcome to another episode of bts not knowing their own songs ,"['welcome', 'another', 'episode', 'bts', 'knowing', 'songs']",bts
1084,1448,1448,bts jin had the best reaction to his win getting revoked ,"['bts', 'jin', 'best', 'reaction', 'win', 'getting', 'revoked']",bts
1086,1450,1450,bts radiate rich ceo energy in their new formula cf ,"['bts', 'radiate', 'rich', 'ceo', 'energy', 'new', 'formula', 'cf']",bts
1098,1462,1462,singer choi yong joon thanks bts jungkook for covering his song ,"['singer', 'choi', 'yong', 'joon', 'thanks', 'bts', 'jungkook', 'covering', 'song']",bts
1104,1468,1468,bts reveals what art and music mean to them during connect bts ,"['bts', 'reveals', 'art', 'music', 'mean', 'connect', 'bts']",bts
1106,1470,1470,bts to collaborate with starbucks korea all proceeds from event to be donated ,"['bts', 'collaborate', 'starbucks', 'korea', 'proceeds', 'event', 'donated']",bts
1107,1471,1471,bts v dog tannie is the most handsome pupper you ve ever seen ,"['bts', 'v', 'dog', 'tannie', 'handsome', 'pupper', 'ever', 'seen']",bts
1114,1478,1478,meet the idol who keeps photocard of bts jhope in his wallet ,"['meet', 'idol', 'keeps', 'photocard', 'bts', 'jhope', 'wallet']",bts
1118,1482,1482,bts jungkook releases new song cover under hilarious circumstances ,"['bts', 'jungkook', 'releases', 'new', 'song', 'cover', 'hilarious', 'circumstances']",bts
1119,1483,1483,bts jungkook and are wilding on weverse but jin just wants to sleep ,"['bts', 'jungkook', 'wilding', 'weverse', 'jin', 'wants', 'sleep']",bts
1123,1487,1487,bts mc v immediately regretted volunteering for the job ,"['bts', 'mc', 'v', 'immediately', 'regretted', 'volunteering', 'job']",bts
1130,1494,1494, awards that bts stylists definitely deserve to win ,"['awards', 'bts', 'stylists', 'definitely', 'deserve', 'win']",bts
1138,1502,1502,american singer max finally meets his brother bts suga ,"['american', 'singer', 'max', 'finally', 'meets', 'brother', 'bts', 'suga']",bts
1144,1508,1508,bts finally reveals what connect bts is all about ,"['bts', 'finally', 'reveals', 'connect', 'bts']",bts
1146,1510,1510, underrated bts songs that should be listened to more ,"['underrated', 'bts', 'songs', 'listened']",bts
1149,1513,1513,bang pd answers the question what makes bts different ,"['bang', 'pd', 'answers', 'question', 'makes', 'bts', 'different']",bts
1152,1516,1516, seconds is all it takes to be swept away by bts worldwide handsome jin ,"['seconds', 'takes', 'swept', 'away', 'bts', 'worldwide', 'handsome', 'jin']",bts
1161,1525,1525,btss sends his prayers for those affected by the taal volcano disaster ,"['btss', 'sends', 'prayers', 'affected', 'taal', 'volcano', 'disaster']",bts
1166,1530,1530,bts dance lesson on twerking was complete and utter chaos ,"['bts', 'dance', 'lesson', 'twerking', 'complete', 'utter', 'chaos']",bts
1167,1531,1531,bts auctioned mics are racking up thousands of dollars for charity ,"['bts', 'auctioned', 'mics', 'racking', 'thousands', 'dollars', 'charity']",bts
1177,1541,1541,armys are all asking the same question where is connect bts ,"['armys', 'asking', 'question', 'connect', 'bts']",bts
1181,1545,1545,bts jin reported to have purchased another luxury apartment ,"['bts', 'jin', 'reported', 'purchased', 'another', 'luxury', 'apartment']",bts
1185,1549,1549,big hit entertainment grants army wish for subtitled bts content ,"['big', 'hit', 'entertainment', 'grants', 'army', 'wish', 'subtitled', 'bts', 'content']",bts
1195,1559,1559, iconic times bts experienced microphone failures ,"['iconic', 'times', 'bts', 'experienced', 'microphone', 'failures']",bts
